Key,Type,Desc,English,Korea,Japanese,Chinese (Traditional)
LibraryPopup_txtWendigoDescription,Text,,"Wendigo is a creature with an evil spirit, greed, insatiable hunger, desire to eat the flesh of the weak.","웬디고는 악령, 탐욕, 끝없는 굶주림, 약한 자의 살을 먹고 싶은 욕망을 가진 생물이다.",ウェンディゴは、悪霊、貪欲、飽くなき飢え、弱者の肉を食べたいという欲求を持つ生き物です。,溫迪戈是一種惡靈、貪婪、永不滿足的飢餓、渴望吃弱者肉的生物。
LibraryPopup_txtWerewolfDescription,Text,,Werewolves are cursed wolves. They hunt their prey on a moonlit night and curse anyone who sees,늑대인간은 저주받은 늑대입니다. 그들은 달빛이 비치는 밤에 먹이를 사냥하고 보는 사람을 저주합니다.,狼男は呪われたオオカミです。彼らは月明かりに照らされた夜に獲物を狩り、見る人を呪う,狼人是被詛咒的狼。他們在月夜捕獵獵物並詛咒任何看到
LibraryPopup_txtWolfDescription,Text,,Wolves are canines with long bushy tails. They can bite dead a man if they're dangerous.,늑대는 길고 덥수룩한 꼬리를 가진 송곳니입니다. 그들은 위험하면 사람을 물 수 있습니다.,オオカミは長いふさふさした尾を持つ犬です。彼らが危険であるならば、彼らは人を噛んで死ぬことができます。,狼是長著濃密尾巴的犬科動物。如果他們很危險，他們可以咬死一個人。
LibraryPopup_txtZombieDescription,Text,,A zombie is a mythological undead corporeal revenant created through the reanimation of a corpse. They deal so much damage and eat brains.,좀비는 시체의 소생을 통해 생성된 신화적인 언데드 corporeal revenant입니다. 그들은 너무 많은 피해를 입히고 뇌를 먹습니다.,ゾンビは、死体の蘇生によって作成された神話のアンデッドの肉体のレヴァナントです。彼らは非常に多くのダメージを与え、脳を食べます。,殭屍是神話中的不死生物，通過屍體復活而產生。他們造成如此大的傷害並吃掉大腦。
Library_txtTitle,Text,,Library,도서관,図書館,圖書館
Loading_txtLoading,Text,,Loading,로딩,ローデイン,加載
Login_txtEnterText,Text,,Enter text,텍스트 입력,テキストを入力してください,輸入文字
Login_txtSelectCountry,Text,,Select country,국가 선택,国を選択,選擇國家
Login_txtTitle,Text,,Player profile,선수 프로필,プロフィールのプレイヤー,球員簡介
LosePopup_txtTapToReplay,Text,,Tap to replay,탭하여 다시 재생,タップして再生,點按即可重播
LosePopup_txtTitle,Text,,YOU LOSE!,당신은 잃는다!,あなたは負けます！,你輸了！
NewUpdate_txtDontShowAgain,Text,,Don't show this again,다시 표시하지 않음,これを二度と見せないでください,不再顯示此內容
NewUpdate_txtTitle,Text,,New update,새로운 업데이트,新しいアップデート,新更新
QuestInGame_txtCollectChestType,Text,,Level {[VALUE]}: Open chest,레벨 {[VALUE]} : 열린 가슴,{[VALUE]}のレベル：開かれた胸,等級 {[VALUE]} : 打開寶箱
QuestInGame_txtCollectGoldType,Text,,Level {[VALUE]}: Collect golds,레벨 {[VALUE]} : 금 수집,{[VALUE]}のレベル：金の収集,等級 {[VALUE]} : 收集金幣
QuestInGame_txtKillAllType,Text,,Level {[VALUE]}: Kill all enemies,레벨 {[VALUE]} : 모든 적을 죽이십시오,{[VALUE]}のレベル：すべての敵を殺しなさい,等級 {[VALUE]} : 殺死所有敵人
QuestInGame_txtKillBearType,Text,,Level {[VALUE]}: Kill bear,레벨 {[VALUE]} : 곰 죽이기,{[VALUE]}のレベル：クマを殺す,等級 {[VALUE]} : 殺死熊
QuestInGame_txtKillBoneType,Text,,Level {[VALUE]}: Kill Bone,레벨 {[VALUE]} : 뼈 죽이기,{[VALUE]}のレベル：骨殺す,等級 {[VALUE]} : 殺骨
QuestInGame_txtKillDemonType,Text,,Level {[VALUE]}: Kill demon,레벨 {[VALUE]} : 악마 죽이기,{[VALUE]}のレベル：悪魔を殺す,等級 {[VALUE]} : 殺死惡魔
QuestInGame_txtKillDragonGoldType,Text,,Level {[VALUE]}: Kill Dragon Gold,레벨 {[VALUE]} : 드래곤 골드 죽이기,{[VALUE]}のレベル：ドラゴンゴールド殺す,Level {[VALUE]} : 殺龍金
QuestInGame_txtKillDragonType,Text,,Level {[VALUE]}: Kill dragon,레벨 {[VALUE]} : 드래곤 죽이기,{[VALUE]}のレベル：ドラゴンを殺す,等級 {[VALUE]} : 殺龍
QuestInGame_txtKillFireType,Text,,Level {[VALUE]}: Kill Fire,레벨 {[VALUE]} : 킬 파이어,{[VALUE]}のレベル：キルファイア,等級 {[VALUE]} : 殺火
QuestInGame_txtKillGhostType,Text,,Level {[VALUE]}: Kill ghost,레벨 {[VALUE]} : 유령 죽이기,{[VALUE]}のレベル：幽霊を殺す,等級 {[VALUE]} : 殺鬼
QuestInGame_txtKillPoliceStickType,Text,,Level {[VALUE]}: Kill Zombie,레벨 {[VALUE]} : 좀비 죽이기,{[VALUE]}のレベル：ゾンビを殺す,等級 {[VALUE]} : 殺死殭屍
QuestInGame_txtKillSpiderType,Text,,Level {[VALUE]}: Kill Spider,레벨 {[VALUE]} : 거미 죽이기,{[VALUE]}のレベル：クモを殺す,等級 {[VALUE]} : 殺死蜘蛛
QuestInGame_txtKillWolfType,Text,,Level {[VALUE]}: Kill wolf,레벨 {[VALUE]} : 늑대 죽이기,{[VALUE]}のレベル：オオカミを殺す,等級 {[VALUE]} : 殺狼
QuestInGame_txtKillYetiType,Text,,Level {[VALUE]}: Kill Yeti,레벨 {[VALUE]} : 설인 죽이기,{[VALUE]}のレベル：イエティ殺す,等級 {[VALUE]} : 殺死雪人
QuestInGame_txtSavePrincessType,Text,,Level {[VALUE]}: Save the princess,레벨 {[VALUE]} : 공주를 구하라,{[VALUE]}のレベル：プリンセスを救え,等級 {[VALUE]} : 拯救公主
Quest_Achieve,Text,,Achievements,업적,実績,成就
Quest_DailyQuest,Text,,Daily Quest,일일 퀘스트,毎日の報酬,每日任務
Quest_SpecialGift,Text,,Special Gift,특별한 선물,特別なプレゼント,特別的禮物
Quest_txtTitle,Text,,Quest,탐구,クエスト,尋求
Rating_txtDescription,Text,,"Please rate 5 stars
Thank you and love you!","별 5개를 평가해주세요
감사하고 사랑합니다!","5つ星を評価してください
ありがとう","請評價 5 星
謝謝你，愛你！"
Rating_txtTitle,Text,,Rating,평가,評価,評分
RescueParty_txtTitle,Text,,"Play game to get golden medal
From Princess and unlock Special Skins","게임을 플레이하여 금메달을 획득하세요
공주에서 특별 스킨 잠금 해제","ゲームをプレイして金メダルを獲得してください
プリンセスの特別スキンのロックを解除","玩遊戲獲得金牌
來自公主並解鎖特殊皮膚"
RescueParty_txtTitleBottom,Text,,Golden medal total:,금메달 합계:,金メダル合計：,金牌總數：
RescueParty_txtTitleCongrate,Text,,"You're in TOP 100
This is Your Reward:","당신은 TOP 100에 있습니다
이것은 당신의 보상입니다:","あなたはトップ100に入っています
これはあなたの報酬です：","你在前 100 名
這是你的獎勵："
SelectLanguage_txtDescripttion,Text,,Select Language,언어 선택,言語を選択する,選擇語言
SelectLanguage_txtTitle,Text,,Language,언어,言語,語
Setting_txtLanguage,Text,,Language,언어,言語,語
Setting_txtRateUs,Text,,Rate us,평가,私たちを評価してお願いします,評價我們
Setting_txtRestore,Text,,Restore Purchase,구매 복원,購入商品を復元する,恢復購買
Setting_txtTitle,Text,,Settings,설정,設定,設置
Setting_txtVersion,Text,,Version {[VALUE]},버전 {[VALUE]},{[VALUE]}のバージョン,版本 {[VALUE]}
Shop_txtMoreCoins,Text,,More coins?,더 많은 동전?,もっとコイン？,更多硬幣？
Shop_txtTitle,Text,,Shop,가게,店,店鋪
SkinItem_txtAchieve,Text,,Achievement,성취,実績,成就
SkinItem_txtDailyReward,Text,,Daily reward,일일 보상,毎日の報酬,每日獎勵
SkinItem_txtGiftCode,Text,,GiftCode,선물 코드,ギフトコード,禮品碼
SkinItem_txtRescueParty,Text,,Rescue Party,구조대,レスキューパーティー,救援隊
SkinItem_txtWathAds,Text,,Watch Ads,광고 보기,広告を見る,看廣告
WinPopup_TapToContinue,Text,,Tap to continue,계속하려면 탭하세요.,タップして続行,點按以繼續
WinPopup_txtTitle,Text,,YOU WIN!,네가 이겼다!,あなたが勝ちます！,你贏了！
WorldCollect_txtVisit,Text,,Visit,방문하다,訪問,訪問
World_txtTitle,Text,,World,세계,世界,世界
libraryItem_txtUnlock,Text,,Unlock {[VALUE]},잠금 해제 {[VALUE]},ロック解除{[VALUE]},解鎖 {[VALUE]}
txtClaim,Text,,Claim,주장하다,請求,宣稱
txtCongrats!,Text,,CONGRATS!,축하 해요!,おめでとう！,恭喜！
txtLevel,Text,,Level,수준,レベル,等級
txtName,Text,,Name,이름,名前,姓名
txtNoThanks,Text,,"No, thanks!",고맙지 만 사양 할게!,"いいえ, ありがとう",不，謝謝！
txtSkip,Text,,Skip,건너 뛰기,スキップ,跳過
txtUpdate,Text,,Update,업데이트,アップデート,更新
txtUse,Text,,Use,사용,使用する,用
